"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"ACTG","211","Intro Mngrl Actg Bus Scholar","2656","Accounting","48","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Bonham, Jonathan","55"
"ACTG","392","Data Analytics for Accountants","2656","Accounting","34","40","14","2","0","0","0","0","0","0","0","0","0","0","0","0","Chen, Jason Victor","90"
"ACTG","470","Ethical Environment Business","2656","Accounting","9","15","8","4","1","0","0","0","0","0","0","0","0","0","0","2","Scully, George","39"
"AH","100","Intro to Art &Art History","2910","Art History","14","16","3","2","3","0","0","0","0","0","0","0","0","0","0","2","Grad Asst","40"
"AH","110","World Hist Art & Built Env I","2910","Art History","105","121","61","11","18","0","0","0","8","0","0","0","0","0","0","20","Harmansah, Omur","344"
"AH","125","Asian Art and Architecture","2910","Art History","13","10","6","0","0","0","0","0","0","0","0","0","0","0","0","1","Dhingra, Sonali","30"
"AHS","100","Applied Hlth Science Seminar I","2797","Applied Health Sciences Admin","0","0","0","0","0","0","0","0","0","0","0","0","0","59","7","4","Stankevicius, Simona","70"
"AHS","210","Intro to Rehab Science","2797","Applied Health Sciences Admin","28","6","4","0","4","0","0","0","0","0","0","0","0","0","0","1","Hasnain, Rooshey","43"
"AHS","393","Synthesis in Health &Rehab Sci","2797","Applied Health Sciences Admin","9","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","Wescott, Jennifer J","12"
"ANTH","215","Anthropology of Religion","2841","Anthropology","7","7","2","4","1","0","0","0","0","0","0","0","0","0","0","1","Mouftah, Nermeen","22"
"ANTH","333","Undocumented Social Movements","2988","Latin American &Latino Studies","7","4","6","2","0","0","0","0","0","0","0","0","0","0","0","0","Sostaita, Barbara Andrea","19"
"ARAB","103","Intermediate Arabic I","2349","Classics & Mediterran Studies","6","10","6","0","0","0","0","0","0","0","0","0","0","0","0","2","Alyassir, Lina","24"
"ARCH","371","Architectural Theory 1","2911","School of Architecture","7","28","27","0","2","0","0","0","0","0","0","0","0","0","0","0","Dean, Penelope","64"
"ARCH","566","Research Seminar","2911","School of Architecture","4","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","McNeil, Spencer G","11"
"ARCH","585","Arch Theory & History III","2911","School of Architecture","10","12","0","0","0","0","0","0","2","0","0","0","0","0","0","1","Eisenschmidt, Alexander","25"
"ART","112","Intro to Drawing(Major Only)","2583","Art","16","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Peterman, Dan","19"
