"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"ACTG","210","Intro Financial Accounting","2656","Accounting","52","47","17","3","4","0","0","0","2","0","0","0","0","0","0","1","Savoy, Steven J","126"
"ACTG","210","Intro to Fin Actg","2656","Accounting","22","16","16","1","1","0","0","0","0","0","0","0","0","0","0","2","Savoy, Steven J","58"
"ACTG","315","Intermediate Financial Actg I","2656","Accounting","15","18","11","1","0","0","0","0","0","0","0","0","0","0","0","1","Pandit, Shailendra","46"
"AH","130","Photography in History","2910","Art History","21","8","3","4","2","0","0","0","0","0","0","0","0","0","0","2","Grad Asst","40"
"AH","205","Roman Art and Archaeology","2349","Classics & Mediterran Studies","7","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","Ros, Karen E","11"
"AHS","393","Synthesis in Health &Rehab Sci","2797","Applied Health Sciences Admin","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Rodriguez, Vanessa","21"
"ANTH","100","Human Adventure","2841","Anthropology","19","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Roosevelt, Anna C","22"
"ANTH","239","Anth Perspectives Oral Health","2841","Anthropology","16","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Nicholas, Christina Lynne","21"
"ANTH","481","Geog Info Systems I","2841","Anthropology","3","2","0","1","1","0","0","0","0","0","0","0","0","0","0","4","Solinis Casparius, Rodrigo","11"
"ARAB","104","Intermediate Arabic II","2349","Classics & Mediterran Studies","35","12","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Babiker, Mariam","48"
"ARAB","203","Arabic for Healthcare","2349","Classics & Mediterran Studies","16","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Babiker, Mariam","17"
"ARCH","554","Architectural Design IV","2911","School of Architecture","12","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Eisenschmidt, Alexander","21"
"ART","112","Introduction to Drawing","2583","Art","14","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Grad Asst","19"
"ART","151","Intro to Creative Coding","2583","Art","8","5","2","2","1","0","0","0","0","0","0","0","0","0","0","1","Beiersdorfer, Crystal Lynn","19"
"ART","151","Intro to Creative Coding","2583","Art","14","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","Kelley-Hudgins, Jared Christopher","20"
"ART","170","Introduction to Filmmaking","2583","Art","14","5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Wanitwat, Parinda","20"
"ART","376","Topics in Audio:Sonic Sorcery","2583","Art","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Stratman, Deborah Renee","13"
"ART","460","Speaking to, for, about, of,","2583","Art","10","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Geissler, Beate","12"
"BA","100","Intro to Prof Dev","2785","Business Administration Admini","45","7","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Warner, Kimberly","53"
"BA","200","Business Communication","2785","Business Administration Admini","18","9","2","0","1","0","0","0","0","0","0","0","0","0","0","0","Hoiberg, Dale Hollis","30"
"BA","320","Civic Engagement","2785","Business Administration Admini","23","4","2","0","1","0","0","0","0","0","47","0","0","0","0","0","Bosarge, Elizabeth Marie","77"
"BA","494","Strat Analys & Rprt for BBA","2785","Business Administration Admini","5","10","10","2","2","0","0","0","0","0","0","0","0","0","0","0","Porter, Brian Ernst","29"
"BCMG","599","PhD Thesis Research","2509","Biochem & Molecular Genetics","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","Segev, Nava","19"
"BHIS","437","Health Care Data","2318","Biomed & Health Info Sciences","26","30","3","0","3","0","0","0","0","0","0","0","0","0","0","2","Czart, Margaret B","64"
"BHIS","461","Info Systems for HIM","2318","Biomed & Health Info Sciences","6","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Williams, Felecia Altevet","16"
"BIOS","102","Bio Sci First-Year Seminar","2453","Biological Sciences","0","0","0","0","0","0","0","0","0","0","0","0","0","18","2","0","Sutherland, Eric Lawrence","20"
"BIOS","120","Populations & Communities","2453","Biological Sciences","134","79","24","2","3","0","0","0","0","0","0","0","0","0","0","12","Molumby, Alan J","254"
"ACTG","493","Actg Cases Research & Analysis","2656","Accounting","16","25","13","3","0","0","0","0","0","0","0","0","0","0","0","0","Balachandran, Sudhakar V","57"
"AH","111","World Hist Art & Built Env II","2910","Art History","96","78","52","22","28","0","0","0","0","0","0","0","0","0","0","26","Stimson, Blake","302"
"AH","172","Vis Culture Ancient Americas","2910","Art History","3","2","2","1","1","0","0","0","0","0","0","0","0","0","0","2","Deij Prado, Macarena","11"
"AH","180","Intro to Museum & Exhibition","2910","Art History","23","6","0","0","0","0","0","0","6","0","0","0","0","0","0","2","Stewart, Lorelei","37"
"AHS","304","Sexuality and Health","2797","Applied Health Sciences Admin","32","7","4","0","1","0","0","0","0","0","4","0","0","0","0","2","Bengtsson, Helene Strange","50"
"AHS","365","Measurement in Rehab","2797","Applied Health Sciences Admin","7","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Akinola, Olayemi","11"
"AHS","402","Inter-professional Seminar","2797","Applied Health Sciences Admin","17","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Wescott, Jennifer J","23"
"ANTH","105","Human Evolution","2841","Anthropology","136","158","68","12","13","0","0","0","0","0","0","0","0","0","0","9","Sacks, Lita","396"
"ANTH","229","Inca Empire Archaeology","2841","Anthropology","6","3","0","1","3","0","0","0","0","0","0","0","0","0","0","0","Bauer, Brian S","13"
"ARCH","206","Architectural Studio 4","2911","School of Architecture","15","21","26","1","1","0","0","0","2","0","0","0","0","0","0","0","Materia, Barbara","66"
"ARCH","466","Advanced Topic Studio 2","2911","School of Architecture","5","7","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Gibson, Grant","15"
"ARCH","555","Design Development","2911","School of Architecture","7","4","2","0","0","0","0","0","7","0","0","0","0","0","0","0","Kelley, Thomas","20"
"ART","160","Intro to Digital Photo","2583","Art","16","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","Grad Asst","20"
"ART","160","Intro to Digital Photo(GEN ED)","2583","Art","17","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Grad Asst","20"
"ART","212","Topics in Drawing","2583","Art","17","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Peterman, Dan","18"
"BA","100","Intro to Prof Dev","2785","Business Administration Admini","47","6","2","0","2","0","0","0","1","0","0","0","0","0","0","1","Whittington, James","59"
