"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"AH","130","Photography in History","2910","Art History","7","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","Grad Asst","12"
"BA","200","Business Communication","2785","Business Administration Admini","17","3","1","0","0","0","0","0","0","0","0","0","0","0","0","1","Wang, Jie","22"
"BHIS","505","Ethics&Legal Issues/Hlth Info","2318","Biomed & Health Info Sciences","38","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Swirsky, Eric S","42"
"BHIS","595","BHIS Seminar","2318","Biomed & Health Info Sciences","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","Lebowicz, Leah Amanda","18"
"BIOS","230","Evolution and Ecology","2453","Biological Sciences","8","6","1","1","0","0","0","0","0","0","0","0","0","0","0","0","Ale, Som Bahadur","16"
"BIOS","326","Embryology Laboratory","2453","Biological Sciences","40","19","9","2","2","0","0","0","0","0","0","0","0","0","0","3","Bassett, Andrea Louise","75"
"CELE","600","Elective Clerkship","2649","Administration","0","0","0","0","0","0","0","0","0","0","54","0","0","13","0","0","Thomas, Dorian E","67"
"COMM","294","Freelance Journalism","2493","Communication","3","3","6","2","1","0","0","0","0","0","0","0","0","0","0","1","Grad Asst","16"
"COMM","495","Happiness and Social Media","2493","Communication","8","4","2","1","0","0","0","0","0","0","0","0","0","0","0","2","Papacharissi, Zozo-Angeliki","17"
"CS","411","Artificial Intelligence I","2699","Computer Science","19","4","1","0","0","0","0","0","1","0","0","0","0","0","0","0","Saha, Aadirupa","25"
"DADM","396","Independent Study in Dent","2758","Dentistry Administration","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","Alvarez, Angelica Victoria","10"
"ECON","221","Macroeconomics","2525","Economics","7","2","2","0","2","0","0","0","0","0","0","0","0","0","0","0","Grad Asst","13"
"EDPS","470","Collective Bargain Pract & Pol","2835","Educational Policy Studies","0","0","0","0","0","0","0","0","0","0","22","0","0","0","0","0","Superfine, Benjamin M","22"
"ENGL","209","Engl Stud II: 17thC to Today","2492","English","8","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0"," ,","14"
"EPSY","523","Adv Curriculum & Practice","2783","Curriculum and Instruction","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Grad Asst","31"
"FIN","550","Personal Finance","2691","Finance","15","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Diaz Bianco, Aaron","17"
